,ug,ugsp,irt,ski,job
1115,B.Tech,Geography ,Technology;Govt. Job;Sports Industry,Programming Language skills;People management,Software developer
1117,BBA,Business,Retailer,HR,Retail manager
1123,B.Tech,Management,Trading;Customer care,Critical Thinking;Artistic/Creative Skills;Analytical Skills;Civil & Criminal Law;Problem Solving skills;Risk management skills;Writing skills;Interpersonal skills;Presentation Skills,Site engineer 
1124,B.Tech,Electronics and computer engineering,Technology;Social causes,"Proeficiency in Software like STAAD PRO, ETABS;Good communication skills;Refinery Operations",Chemical Process Engineer
1125,BBA,Computer Science ,Sales/Marketing;Market reserach,Active Listening;Hardware skills;Problem Solving skills;Risk management skills;Sales,Marketing guy (TMA) 
1128,BE,History,Data scientist,People management,Systems engineer 
1129,B.Com,Business Studies,Sales/Marketing,Business Knowledge;People management;Communication skills;Problem Solving skills;Sales;Social Media Marketing;Interpersonal skills;Presentation Skills,Data analyst
1130,BA,Computer Science Engineering,Teaching,Teaching,Teacher
1131,B.Com,EcoNAmics,Financial Analysis;Social Justice;Content Writing;Social media marketing,"Accounting Skills;Hardware skills;Business Knowledge;Finance related skills;Communication skills;Social Media Marketing;Content creation;Teaching;Foreign languages french, Spanish",Social media executive
1137,B.Tech,Electrical and Electronics Engineering,Technology;Industires;Design,Automation ,Instrumentation and Control Engineer 
1138,B.Tech,Computer Science Engineering,"Research;Teaching;Technology;Data analytics;Agriculture, services",Accounting Skills;Active Listening;Hardware skills;Business Knowledge;Problem Solving skills,UPS supervisor
1139,B.Tech,Computer science and engineering ,Teaching,"Active Listening,Work under Pressure,Team work,Presentation skills",Teaching
1140,B.Tech,Computer Science ,Machine Learning,Data Structures;Algorithms;Competitive Programming;C++;JavaScript;JavaJava;Git;IntelliJIDEA;Xcode;Problem Solving;AndroidStudio;Webstorm;Postman API;HTML5;Cascading Style Sheets (CSS);Software Development;Core Java;Bootstrap;JUnit;react;Back-End Web Development;Spring Framework;Hibernate;CPP;Database Management System (DBMS);Linux;Debugging;Object-Oriented Programming (OOP);Object Oriented Design;Databases,Software Development Engineer
1141,B.Tech,Computer Science ,Technology;Web Designing,Active Listening;Programming Language skills;Critical Thinking;Analytical Skills;Communication skills;Problem Solving skills;Python,Associate consultant 
1143,B.Sc,Electronics and Communication Engineering,Web development;Information Technology,Programming Language skills;Communication skills;C++,Jumio Document Verification Team
1144,BBA, Computer Applications,Sales/Marketing;Supply Chain Analysis;Data analytics,Active Listening;Critical Thinking;Analytical Skills;Finance related skills,manager
1145,B.Tech,Computers,"Trading, Entrepreneurship, Understand Human Behaviour","ML, Python",Hardware Engineer
1146,BCA,Computer Science Engineering,Teaching,Teaching,Placement Trainee
1148,B.Tech,Marketing ,Game industry,"
C++;Unity 3D;Object-Oriented Programming (OOP);Game Development;Data Structures;C#;Unreal Engine 4;C (Programming Language)",Game Programmer
1149,DME,Mechanical Engineering,"Financial Analysis, News Coverage, Social Justice, Entrepreneurship, Understand Human Behaviour, Understand Human Body","Reading, Subject Knowledge",Mechanical Engineer
1151,BE,"Physics, Chemistry and Mathematics",Research;Technology;Data analytics;Data scientist,Active Listening;Critical Thinking;Gathering Information;People management;Problem Solving skills;Risk management skills,QC engineer
1152,B.Tech,English,"Technology, Entrepreneurship","ML, Python, SQL, Programming, Team work, Excel, Logical Skills, Presentation Skills, Tableau",SQL Developer
1155,BE,Commerce ,Content Writing;Data analytics;Data scientist;Industires,Accounting Skills;Active Listening;Hardware skills;Programming Language skills;Analytical Skills;Editing;HR,
1156,Diploma,Computer Science Engineering,Teaching,Editing,HR
1157,B.Com,Computer Science Engineering,Govt. Job,Accounting Skills;Critical Thinking;Editing;Content creation,Miritary soldier 
1158,B.Tech,Mechanical Engineering,Web Designing;Information Technology,Programming Language skills,Software Engineer
1159,B.Tech,Statistics,Research;Data analytics;Web development;Social media marketing;Social causes;Industires;Sports Industry,Programming Language skills;Critical Thinking;Gathering Information;Communication skills;Negotiation skills;Mass Communication;Leadership;Editing;Problem Solving skills;Risk management skills;C++;Presentation Skills;Linux;Python;Content creation;Java;Cloud Computing;MATLAB;Good communication skills;SAP;AWS;Salesforce Admin,Salesforce Admin
1160,B.Tech,Automobile Engineering,Industires;Design,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),Mechanical Design Engineer
1161,B.Sc,Mechanical Engineering ,Financial Analysis;Research;Sales/Marketing;Teaching;Technology;Supply Chain Analysis;Data analytics;Data scientist,Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Analytical Skills;People management;Communication skills;Problem Solving skills;Writing skills;Machine Learning skills;Python;Artificial Intelligence;Automation,Analyst
1163,BE,History,Research;Teaching;Supply Chain Analysis;Gardening;Social causes;Industires,Critical Thinking;Artistic/Creative Skills;Analytical Skills;Problem Solving skills;Risk management skills;Artificial Intelligence;Good communication skills,Assistant Engineer 
1166,BE,Agriculture BiotechNAlogy,Web Designing;Design,Designing skills,Graphics Designer 
1167,B.Tech,Mathematics,Research;Sales/Marketing;Market reserach,Active Listening;Communication skills;Negotiation skills;Problem Solving skills;Client management,Project Manager
1171,B.Tech,Civil Engineering,Technology;Web Designing;Data analytics,Gathering Information;Analytical Skills;Communication skills;Leadership;Data Visualization skills( Power Bi/ Tableau );Interpersonal skills,Associate System Engineer 
1172,B.Sc,Data Structures & Algorithm,Financial Analysis;Govt. Job;Social media marketing,Critical Thinking;Business Knowledge;Leadership;Risk management skills;C++;SQL;Java,Gatemen
1183,B.Tech,Bbb,"Financial Analysis, Technology, Trading, Entrepreneurship, Understand Human Behaviour","SQL, Derivatives, Linux",Computer Software Engineer
1184,B.Tech,Electronics and Communication Engineering,"Web development,Information Technology,Blockchain","
Cloud Computing;Microsoft Azure;Amazon Web Services (AWS)docker;Jenkins;Git;Kubernetes;Powershell;MySQL;Big Data Analytics",Cloud Engineer
1186,B.Tech,Electronics & Telecommunications ,Data Analytics,NO,ASSISTANT SYSTEM ENGINEER TRAINEE
1188,B.Tech,Electrical and Electronics Engineering,Product Life cycle Management,"
Product Management;User Experience (UX);Product Development;Account Management;Product Strategy;Project Resourcing",Product Specialist
1189,B.Sc,computer science engineering,Technology,Communication skills;Data Visualization skills( Power Bi/ Tableau ),MIS
1190,B.Tech,Electronics and Communication Engineering,Technology,"Python, SQL, Oracle",Data Engineer
1192,B.Tech,Animation & Visual Effects,Technology;Content Writing,Programming Language skills;Critical Thinking;Analytical Skills;Editing;Data Visualization skills( Power Bi/ Tableau );SQL,Hr Assistant II
1194,B.Sc,Animation & Visual Effects,Animation,2D/3D Animation,VFX Production Assistant
